,Brand,Model,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
716,Hyundai,tucson,2004, Manual,2000,4, Petrol,5,41000,2400000
717,Hyundai,i10,2010, Manual,1200,2, Petrol,8,32000,1575000
718,Hyundai,accent,2000, Manual,1500,2, Petrol,3,56000,650000
719,Hyundai,i10,2008, Manual,1200,2, Petrol,6,44000,1333333
720,Hyundai,eon,2013, Manual,800,2, Petrol,11,50000,1450000
721,Hyundai,asta,2014, Manual,1200,2, Petrol,12,8000,2154993
722,Hyundai,accent,2001, Manual,1800,2, Petrol,3,42000,700000
723,Hyundai,asta,2010, Manual,1200,2, Petrol,8,38000,1825000
724,Hyundai,tucson,2009, Manual,2000,2, Diesel,7,49000,3400000
725,Hyundai,i20,2006, Manual,1500,2, Petrol,7,50000,900000
726,Hyundai,asta,2010, Manual,1300,2, Petrol,8,38000,1800000
727,Hyundai,eon,2012, Manual,800,2, Petrol,10,23000,1325000
728,Hyundai,asta,2014, Manual,1200,2, Petrol,12,80000,2150000
729,Hyundai,i10,2008, Manual,1200,2, Petrol,6,39000,1350000
730,Hyundai,i10,2010, Manual,1200,2, Petrol,13,34000,1550000
731,Hyundai,santro,2008, Manual,1000,2, Petrol,6,37000,850000
732,Hyundai,i10,2008, Manual,1200,2, Petrol,6,39000,1350000
733,Hyundai,asta,2009, Manual,1400,2, Diesel,7,46000,1825000
734,Hyundai,i10,2009, Manual,1200,2, Petrol,7,36000,1400000
735,Hyundai,getz,2009, Manual,1400,2, Petrol,7,35600,1400000
736,Hyundai,tucson,2011, Manual,2000,2, Diesel,11,90000,1000000
737,Hyundai,i10,2009, Manual,1200,2, Petrol,9,26000,1650000
738,Hyundai,i10,2009, Manual,1100,2, Petrol,7,35000,1350000
739,Hyundai,i10,2009, Manual,1100,2, Petrol,7,28000,1350000
740,Hyundai,eon,2012, Manual,800,2, Petrol,9,22000,1190000
741,Hyundai,i10,2010, Manual,1200,2, Petrol,8,33000,1500000
742,Hyundai,eon,2012, Manual,800,2, Petrol,10,23000,1325000
743,Hyundai,accent,2007, Manual,1200,2, Petrol,6,45000,1500000
744,Hyundai,i10,2013, Manual,1200,2, Petrol,11,17000,1750000
745,Hyundai,i10,2010, Manual,1100,2, Petrol,9,27950,1525000
746,Hyundai,asta,2009, Manual,1200,2, Petrol,7,34000,1775000
747,Hyundai,i10,2010, Manual,1200,2, Petrol,9,40000,1550000
748,Hyundai,tucson,2008, Manual,2000,4, Diesel,6,64272,3175000
749,Hyundai,sonata,2010, Manual,2000,2, Petrol,8,9000,4000000
750,Hyundai,asta,2014, Manual,1200,2, Petrol,12,11000,2550000
751,Hyundai,i10,2008, Manual,1200,2, Petrol,8,27000,1700000
752,Hyundai,santro,2006, Manual,1100,2, Petrol,6,59000,1075000
753,Hyundai,i10,2011, Manual,1100,2, Petrol,9,38000,1675000
754,Hyundai,i10,2010, Manual,1200,2, Petrol,12,48000,1300000
755,Hyundai,santro,2007, Manual,1100,2, Petrol,5,50000,1200000
756,Hyundai,santro,2004, Manual,1100,2, Petrol,4,34000,845000
757,Hyundai,i10,2009, Manual,1200,2, Petrol,9,28000,1425000
758,Hyundai,tucson,2006, Manual,2000,4, Diesel,13,45890,2900000
759,Hyundai,i10,2009, Manual,1200,2, Petrol,8,31000,1500000
760,Hyundai,i10,2010, Manual,1200,2, Petrol,8,33000,1500000
761,Hyundai,asta,2010, Manual,1200,2, Petrol,10,23000,1850000
762,Hyundai,i10,2010, Manual,1200,2, Petrol,8,32000,1575000
763,Hyundai,i10,2009, Automatic,1200,2, Petrol,7,21000,1450000
764,Hyundai,santro,2003, Manual,1100,2, Petrol,5,66000,850000
765,Hyundai,santro,2003, Manual,1100,2, Petrol,5,60000,785000
766,Hyundai,i10,2009, Automatic,1100,2, Petrol,7,45000,1175000
767,Hyundai,tucson,2009, Manual,2000,2, Diesel,9,50000,3500000
768,Hyundai,santro,2001, Manual,1100,2, Petrol,3,70000,700000
769,Hyundai,santro,2003, Manual,1100,2, Petrol,5,52000,825000
